0	XML,Extensible Markup Language	웹브라우저 간 HTML 문법이 호환되지 않는 문제와 SGML의 복잡함을 해결하기 위하여 개발된 다목적 마크업 언어이다.
1	JSON,JavaScript Object Notation	속성-값 쌍(attribute-value pairs)으로 이루어진 데이터 오브젝트를 전달하기 위해 사용하는 개방형 표준 포맷이다. AJAX에서 많이 사용되고 XML을 대체하는 주요 데이터 포맷이다. 언어 독립형 데이터 포맷으로 다양한 프로그래밍 언어에서 사용되고 있다.?
2	살충제 패러독스,Pesticide Paradox	동일한 테스트 전략, 기법을 적용할 시 장애가 도출되지 않음을 의미하는 애플리케이션 테스트의 기본 원리
3	MD5	128비트 암호화 해시 함수로 RFC 1321로 지정되어 있으며, 주로 프로그램이나 파일이 원본 그대로인지를 확인하는 무결성 검사 등에 사용된다.
4	원자성,Atomicity	트랜잭션은 연산들을 전부 실행하든지 전혀 실행하지 않아야 한다. 일부만 실행해서는 안 된다.
5	일관성,Consistency	트랜잭션이 성공적으로 실행되면 데이터베이스 상태는 모순되지 않고 일관된 상태가 된다.
6	독립성,Isolation	트랜잭션 실행 도중의 연산 결과는 다른 트랜잭션에서 접근할 수 없다.
7	지속성,Durability	트랜잭션이 성공했을 경우 영구적으로 반영되어야 한다.
8	랜드어택,Land Attack	패킷의 출발지 주소(Address)나 포트(port)를 임의로 변경하여 출발지와 목적지 주소(또는 포트)를 동일하게 함으로써, 공격 대상 컴퓨터의 실행 속도를 느리게 하거나 동작을 마비시켜 서비스 거부 상태에 빠지도록 하는 공격
9	물리 계층,Physical Layer	OSI 7계층 중 이 계층은 전송에 필요한 두 장치 간의 실제 접속과 절단 등 기계적, 전기적, 기능적, 절차적 특성에 대한 규칙을 정의한다. 단위(PDU)는 '비트'를 사용한다
10	반정규화,데이터베이스 반정규화,Denormalization 	시스템의 성능 향상, 개발 및 운영의 편의성 등을 위해 정규화된 데이터 모델을 통합, 중복, 분리하는 과정으로, 의도적으로 정규화 원칙을 위배하는 행위
11	목표 복구 시간,RTO,Recovery Time Objective	비상사태 또는 업무중단 시점으로부터 업무가 복구되어 다시 정상가동 될 때까지의 시간
12	목표 복구 시점,RPO,Recovery Point Objective	업무 중단 시 각 업무에 필요한 데이터를 여러 백업 수단을 이용하여 복구할 수 있는 기준점
